PLAYER_ID,MATCHES,RUNS,HIGHEST,AVERAGE,STRIKE_RATE,NO_OF_100S,WICKETS,ECONOMY,POINTS,ICC_RANK
401,262,12344,183,57.68,92.44,43,4,6,744,5
402,233,9376,264,48.58,89.18,29,8,5,740,6
403,72,47,14,6.71,50.54,8,121,5,662,4
404,158,6207,133,50.06,86.93,16,26,6,691,13
405,113,707,65,16.44,86.96,8,151,5, - , - 
406,17,239,46,21.73,84.15,0,17,5,434,74
407,135,5680,179,44.38,95.13,24,0,8,739,7
408,32,102,19,17,68.46,0,62,6,661,5
409,83,1114,60,21.02,105.69,0,158,4,651,8
410,122,3648,141,36.85,84.42,6,70,5, - ,30
411,105,2924,182,38.99,95.09,3,74,6, - , - 
412,52,1555,118,36.16,96.11,1,6,6, - ,29
413,9,28,11,8,47.46,0,10,4,433,75
414,221,6755,134,37.53,82.26,9,285,4,619,16
416,132,5774,178,46.19,96.2,17,8, - ,784,3
417,132,4554,164,44.21,88.2,11,28,5,672,20
419,92,4664,158,59.79,89.74,17,0, - ,890,1
415,31,604,88,25.17,103.42,8,34,5,531,39
418,350,10773,183,50.58,87.56,10,1,5, - , - 
